numVotes,stillExists,uid,liked,disliked,liked_churned_people,voteDate,vote,Happiness,Activity,likes,dislikes,txt_len
69,True,1256aec740f1ef260003e307d6,67,29,1,736190.7101449275,3.36231884057971,-0.002485861300285549,399,4.172413793103448,2.0344827586206895,85.27586206896552
76,True,1356aec740f1ef260003e307d6,244,57,1,736216.197368421,2.5921052631578947,-0.0003260135922742109,404,6.976744186046512,2.5813953488372094,66.27906976744185
90,True,1656aec740f1ef260003e307d6,206,46,1,736118.6111111111,3.411111111111111,0.0029194101302640104,381,9.32876712328767,2.232876712328767,132.06849315068493
170,True,1856aec740f1ef260003e307d6,745,88,1,736172.305882353,2.9058823529411764,-0.0007754014253694868,413,5.083333333333333,1.9696969696969697,91.65151515151516
100,True,1956aec740f1ef260003e307d6,969,150,1,736166.65,2.68,0.0005859836071045454,387,7.47,2.14,183.96
19,True,53156aec740f1ef260003e307d6,27,1,0,736395.3157894737,3.5789473684210527,-0.03742046802545023,23,10.75,0.25,60.75
74,True,2056aec740f1ef260003e307d6,254,39,1,736101.8108108108,3.418918918918919,0.0003948341612719162,288,5.694444444444445,1.1944444444444444,67.31944444444444
191,True,2156aec740f1ef260003e307d6,163,23,1,736185.4083769633,2.549738219895288,0.0012185185293176535,398,5.431818181818182,1.6818181818181819,115.6590909090909
67,False,2256aec740f1ef260003e307d6,49,11,1,736098.5373134328,2.5074626865671643,0.005367564712097201,195,8.866666666666667,2.466666666666667,93.66666666666667
56,True,2356aec740f1ef260003e307d6,84,6,1,736114.5357142857,3.25,0.00010297580048673828,402,5.166666666666667,0.6666666666666666,69.33333333333333
404,True,2456aec740f1ef260003e307d6,1454,413,1,736203.853960396,3.5445544554455446,-0.002271003379045373,413,5.690476190476191,1.4761904761904763,47.23809523809524
100,True,2556aec740f1ef260003e307d6,77,12,0,736271.43,2.4,0.0054509687985672345,369,25.0,0.0,58.0
262,True,2656aec740f1ef260003e307d6,67,16,0,736203.0114503817,2.3702290076335877,0.0004043998223767656,413,2.0,0.0,1.0
14,True,53856aec740f1ef260003e307d6,116,14,0,736400.8571428572,4.0,-0.0,14,6.818181818181818,0.8181818181818182,110.54545454545455
137,True,2856aec740f1ef260003e307d6,4,7,1,736226.2116788321,3.613138686131387,-0.0025362144884698854,410,3.6666666666666665,0.08333333333333333,28.333333333333332
45,True,2956aec740f1ef260003e307d6,3,0,0,736203.3777777777,3.4444444444444446,-0.002645973555558505,389,5.666666666666667,0.3333333333333333,49.0
43,False,3056aec740f1ef260003e307d6,14,1,1,736078.1860465116,2.7209302325581395,-0.0022937102575975024,169,2.1,2.9,76.1
53,True,3156aec740f1ef260003e307d6,667,184,1,736154.358490566,4.0,-0.0,412,8.090909090909092,0.7727272727272727,154.1818181818182
182,True,3256aec740f1ef260003e307d6,63,0,1,736156.1483516484,3.8241758241758244,-0.0009683614406970299,405,2.697674418604651,0.37209302325581395,29.162790697674417
253,True,3356aec740f1ef260003e307d6,457,97,1,736208.8379446641,3.9960474308300395,1.3513636280819104e-05,413,5.871794871794871,0.5128205128205128,52.92307692307692
369,True,3456aec740f1ef260003e307d6,741,311,1,736201.2601626016,2.2872628726287263,0.0014279812724650614,413,7.811594202898551,1.7246376811594204,67.04347826086956
212,True,3656aec740f1ef260003e307d6,261,58,1,736241.0990566037,3.452830188679245,0.0025509664958455512,405,1.0,2.0,3.0
64,True,3856aec740f1ef260003e307d6,6,2,0,736257.71875,2.703125,0.00174272084601213,381,8.333333333333334,1.0,79.66666666666667
11,True,4156aec740f1ef260003e307d6,8,1,1,736004.0909090909,2.1818181818181817,0.03945140535049101,25,2.6,0.6,64.4
20,True,4556aec740f1ef260003e307d6,41,11,1,736156.1,3.75,-0.003548604347419239,243,2.9444444444444446,0.6111111111111112,58.0
16,True,4756aec740f1ef260003e307d6,3,0,0,736337.875,3.4375,-0.004386582219094534,133,9.5625,1.0625,103.0
79,True,5156aec740f1ef260003e307d6,31,2,1,736277.2784810127,3.151898734177215,4.258283705975402e-05,388,8.333333333333334,0.0,49.666666666666664
142,True,5256aec740f1ef260003e307d6,70,21,1,736148.0492957747,3.507042253521127,-0.0030612016948945928,311,2.204081632653061,1.1224489795918366,28.20408163265306
151,True,5956aec740f1ef260003e307d6,39,55,1,736246.8013245033,3.9602649006622515,-0.00010326166599517603,390,4.4,0.0,53.1
33,True,6156aec740f1ef260003e307d6,13,1,1,736079.696969697,3.121212121212121,0.0006564281733613409,265,7.5,0.75,107.25
93,True,6456aec740f1ef260003e307d6,23,3,1,736096.623655914,3.043010752688172,-0.008751405225639088,156,5.2727272727272725,1.3636363636363635,44.45454545454545
20,True,6556aec740f1ef260003e307d6,7,0,0,736044.0,2.75,0.0041906757464641176,64,2.9166666666666665,1.0833333333333333,15.583333333333334
36,True,6656aec740f1ef260003e307d6,206,31,1,736173.1666666666,3.2777777777777777,0.0003104680658897907,372,6.666666666666667,2.0,54.77777777777778
93,True,6856aec740f1ef260003e307d6,3,2,0,736151.0430107526,3.021505376344086,0.00019654199901619074,404,2.0,0.0,1.0
233,True,6956aec740f1ef260003e307d6,136,15,1,736168.8969957081,3.6566523605150216,-0.0016910942191037785,405,9.5,0.75,166.25
80,True,7156aec740f1ef260003e307d6,15,1,1,736081.7125,3.1125,-0.0046894079697365944,191,5.666666666666667,0.3333333333333333,40.333333333333336
139,True,7356aec740f1ef260003e307d6,73,28,1,736152.3237410072,3.8129496402877696,0.0016542001424472556,389,11.2,1.4,78.8
258,True,7456aec740f1ef260003e307d6,17,3,1,736243.050387597,3.9224806201550386,0.00020762115156870234,405,0.3333333333333333,0.0,22.666666666666668
